ID_Art;Nombre_Art;Apellido_Art;Calle_Art;Numero_Art;Codigo_Postal_art;Region_Art;Ciudad_Art;Prefijo_Art;Telefono_Art;Email_Art
1;Florentia;Island;Sachtjen;7;33705;Florida;Saint Petersburg;569;81325350;fisland0@mozilla.com
2;Avrom;Gornall;Bunting;267;32220;Florida;Jacksonville;569;90420936;agornall1@nature.com
3;Helge;Ferrey;Grasskamp;773;95818;California;Sacramento;569;91616661;hferrey2@hao123.com
4;Coraline;Le Brom;Sage;48186;30340;Georgia;Atlanta;569;77053706;clebrom3@theatlantic.com
5;Hamilton;Foat;Melvin;332;95113;California;San Jose;569;65021599;hfoat4@msn.com
6;Jessica;Guillain;Lerdahl;2;92710;California;Irvine;569;71443026;jguillain5@ted.com
7;Corenda;Wase;4th;5;27264;North Carolina;High Point;569;33624345;cwase6@free.fr
8;Emmi;Waldron;Sutherland;99;33320;Florida;Fort Lauderdale;569;75469811;ewaldron7@about.com
9;Charlean;Fri;Park Meadow;3;63104;Missouri;Saint Louis;569;31418136;cfri8@topsy.com
10;Ber;Blindt;Randy;35;20520;District of Columbia;Washington;569;20229847;bblindt9@wired.com
11;Thayne;Inderwick;Cottonwood;86156;45243;Ohio;Cincinnati;569;51326837;tinderwicka@google.fr
12;Chev;Halligan;Waubesa;4428;93111;California;Santa Barbara;569;70283560;challiganb@sakura.ne.jp
13;Alan;Eason;Emmet;34;77223;Texas;Houston;569;71382972;aeasonc@discuz.net
14;Hussein;Domokos;Dawn;657;10131;New York;New York City;569;21271320;hdomokosd@walmart.com
15;Jakob;Assel;Clemons;706;48335;Michigan;Farmington;569;24880148;jassele@foxnews.com
16;Jocko;Cartman;Prentice;38;64054;Missouri;Independence;569;81617876;jcartmanf@icq.com
17;Lina;Waples;Dixon;43525;25709;West Virginia;Huntington;569;30496641;lwaplesg@artisteer.com
18;Andrea;Ticksall;Schmedeman;175;76162;Texas;Fort Worth;569;68283585;aticksallh@tripod.com
19;Hobey;Eilles;Cordelia;95;78044;Texas;Laredo;569;95668452;heillesi@ehow.com
20;Johanna;Luetkemeyers;Maple Wood;2369;77010;Texas;Houston;569;83261741;jluetkemeyersj@sphinn.com
21;Antony;Desantis;Doe Crossing;815;98185;Washington;Seattle;569;20672715;adesantisk@telegraph.co.uk
22;Lanae;Eplett;Namekagon;76;93709;California;Fresno;569;55922906;leplettl@360.cn
23;Alikee;Shepley;Jackson;89;22156;Virginia;Springfield;569;57152062;ashepleym@google.com.hk
24;Dana;Tunnicliffe;Forster;9411;83206;Idaho;Pocatello;569;20867695;dtunnicliffen@adobe.com
25;Riordan;Shipman;Monument;22248;85732;Arizona;Tucson;569;52048942;rshipmano@constantcontact.com
26;Geno;Bygreaves;Straubel;785;25709;West Virginia;Huntington;569;30428344;gbygreavesp@wordpress.com
27;Kendrick;Gladdis;Hallows;96530;21705;Maryland;Frederick;569;24058926;kgladdisq@yandex.ru
28;Bibbie;Aucoate;Rockefeller;3;6160;Connecticut;Hartford;569;86038295;baucoater@chronoengine.com
29;Flore;Binney;Carey;5753;7305;New Jersey;Jersey City;569;20146852;fbinneys@telegraph.co.uk
30;Hannie;Houlton;Beilfuss;6008;79405;Texas;Lubbock;569;80619567;hhoultont@icio.us
31;Ryann;Eivers;Elka;9357;83722;Idaho;Boise;569;20859533;reiversu@ebay.com
32;Alaine;Gerasch;Sugar;63;87592;New Mexico;Santa Fe;569;50552681;ageraschv@intel.com
33;Christos;Cunnah;Reinke;19;82007;Wyoming;Cheyenne;569;30788393;ccunnahw@wordpress.com
34;Jan;Gisborne;Dennis;2;80310;Colorado;Boulder;569;30326119;jgisbornex@163.com
35;Natalee;Dewick;Shoshone;96;77040;Texas;Houston;569;28136719;ndewicky@infoseek.co.jp
36;Tessie;Manhare;Dixon;12;78789;Texas;Austin;569;51274409;tmanharez@pcworld.com
37;Rozina;Chitham;Roth;9456;61629;Illinois;Peoria;569;30963221;rchitham10@sakura.ne.jp
38;Toinette;Suttaby;Dovetail;4;55188;Minnesota;Saint Paul;569;65162832;tsuttaby11@w3.org
39;Timothy;Creane;Claremont;89286;95813;California;Sacramento;569;91654817;tcreane12@independent.co.uk
40;Milton;Gramer;Buena Vista;12667;32123;Florida;Daytona Beach;569;38668402;mgramer13@bluehost.com
41;Isahella;Gowanlock;Bluejay;748;92145;California;San Diego;569;85836629;igowanlock14@myspace.com
42;Audrey;Potbury;Ohio;8;35487;Alabama;Tuscaloosa;569;20525155;apotbury15@lycos.com
43;Allx;Lovemore;Onsgard;51;75397;Texas;Dallas;569;21411677;alovemore16@bloglines.com
44;Karlene;Pizzey;Fisk;52;27116;North Carolina;Winston Salem;569;33610875;kpizzey17@barnesandnoble.com
45;Rudolfo;Zelland;Michigan;1950;32813;Florida;Orlando;569;32146332;rzelland18@lulu.com
